campus_id,student_count,pass_count,pass_rate,year
31901006,846,274,32,2016
31901007,3127,2301,74,2016
31901008,454,448,99,2016
31901009,2553,2137,84,2016
31901042,1600,934,58,2016
31901043,2423,1841,76,2016
31901044,2379,1736,73,2016
31901045,3371,2432,72,2016
31901046,2262,1548,68,2016
31901047,2318,1715,74,2016
31901048,2142,1387,65,2016
31901051,2729,1916,70,2016
31901053,3017,2238,74,2016
31901054,2977,2430,82,2016
31901055,2483,1960,79,2016
31901101,636,491,77,2016
31901102,621,437,70,2016
31901103,359,302,84,2016
31901104,649,536,83,2016
31901105,743,500,67,2016
31901106,732,550,75,2016
31901108,479,404,84,2016
31901109,290,246,85,2016
31901110,955,704,74,2016
31901111,524,440,84,2016
31901112,601,446,74,2016
31901113,319,252,79,2016
31901115,527,441,84,2016
31901117,556,412,74,2016
31901120,446,287,64,2016
31901121,585,460,79,2016
31901122,609,463,76,2016
31901123,965,756,78,2016
31901124,582,453,78,2016
31901126,932,732,79,2016
31901127,151,106,70,2016
31901128,880,648,74,2016
31901129,665,562,85,2016
31901130,930,834,90,2016
31901131,496,408,82,2016
31901132,631,549,87,2016
31901133,721,520,72,2016
31901134,889,695,78,2016
31901135,748,630,84,2016
31901136,868,758,87,2016
31901137,796,719,90,2016
31901138,737,629,85,2016
31901139,786,726,92,2016
31901140,753,565,75,2016
31901141,745,635,85,2016
31901142,662,608,92,2016
31901143,809,642,79,2016
31901144,807,710,88,2016
31903001,2463,1706,69,2016
31903002,1780,1348,76,2016
31903003,266,106,40,2016
31903005,370,355,96,2016
31903007,3209,2356,73,2016
31903008,611,561,92,2016
31903041,2300,1627,71,2016
31903042,2330,1634,70,2016
31903043,2031,1376,68,2016
31903044,2301,1623,71,2016
31903045,2455,1711,70,2016
31903102,424,293,69,2016
